frame,time_sec,is_moving,knee_stiffness_risk,ankle_foot_alignment_risk,ankle_roll_risk,ankle_roll_angle_deg,ankle_roll_event,hip_displacement_proxy,landing_asymmetry_score,core_risk,status,injury_names,injury_descriptions,injury_preventions
0,0.0,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
1,0.033,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
2,0.067,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
3,0.1,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
4,0.133,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
5,0.167,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
6,0.2,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
7,0.233,False,0.0,0.0,0.0,,False,0.0,0.0,0.0,acceptable,,,
8,0.267,False,0.109,0.654,0.44,25.413,False,0.731,0.1,0.341,acceptable,,,
9,0.3,False,0.131,0.647,0.493,29.09,False,0.739,0.096,0.349,acceptable,,,
10,0.333,False,0.158,0.637,0.525,29.523,False,0.749,0.088,0.355,acceptable,,,
11,0.367,False,0.212,0.606,0.572,31.663,False,0.763,0.07,0.36,acceptable,,,
12,0.4,False,0.263,0.58,0.623,33.564,False,0.777,0.068,0.371,acceptable,,,
13,0.433,False,0.308,0.594,0.688,36.373,False,0.776,0.078,0.393,acceptable,,,
14,0.467,False,0.25,0.639,0.527,35.677,False,0.767,0.101,0.381,acceptable,,,
15,0.5,False,0.155,0.671,0.42,31.879,False,0.767,0.141,0.372,acceptable,,,
16,0.533,False,0.078,0.707,0.382,34.098,False,0.763,0.177,0.372,acceptable,,,
17,0.567,True,0.059,0.74,0.25,18.206,False,0.759,0.22,0.376,caution,,,
18,0.6,True,0.038,0.774,0.226,24.229,False,0.753,0.249,0.385,caution,,,
19,0.633,True,0.019,0.8,0.216,24.428,False,0.744,0.272,0.392,caution,,,
20,0.667,True,0.01,0.844,0.183,20.491,False,0.722,0.289,0.398,caution,,,
21,0.7,True,0.005,0.866,0.171,21.162,False,0.691,0.311,0.404,caution,,,
22,0.733,True,0.002,0.88,0.234,30.765,False,0.655,0.305,0.405,caution,,,
23,0.767,True,0.008,0.878,0.117,,False,0.622,0.263,0.374,caution,,,
24,0.8,True,0.062,0.794,0.058,,False,0.615,0.276,0.366,caution,,,
25,0.833,True,0.155,0.772,0.193,32.953,False,0.668,0.315,0.415,caution,,,
26,0.867,True,0.229,0.776,0.252,31.746,False,0.7,0.349,0.453,caution,,,
27,0.9,True,0.281,0.827,0.267,29.768,False,0.718,0.346,0.477,caution,,,
28,0.933,True,0.329,0.897,0.276,29.919,False,0.74,0.32,0.496,caution,,,
29,0.967,True,0.374,0.937,0.279,29.8,False,0.75,0.301,0.508,caution,,,
30,1.0,True,0.426,0.964,0.263,27.292,False,0.767,0.293,0.522,caution,,,
31,1.033,True,0.476,0.982,0.235,24.436,False,0.783,0.293,0.535,caution,,,
32,1.067,True,0.516,0.991,0.202,21.835,False,0.784,0.292,0.541,caution,,,
33,1.1,True,0.539,0.995,0.17,19.663,False,0.782,0.298,0.546,caution,,,
34,1.133,True,0.48,0.98,0.142,17.974,False,0.776,0.322,0.536,caution,,,
35,1.167,True,0.426,0.921,0.129,18.098,False,0.762,0.379,0.529,caution,,,
36,1.2,True,0.374,0.876,0.064,6.924,False,0.749,0.408,0.512,caution,,,
37,1.233,True,0.339,0.829,0.032,2.197,False,0.741,0.408,0.491,caution,,,
38,1.267,True,0.323,0.776,0.016,-1.591,False,0.764,0.396,0.475,caution,,,
39,1.3,True,0.325,0.745,0.008,,False,0.787,0.393,0.47,caution,,,
40,1.333,True,0.331,0.729,0.004,,False,0.799,0.393,0.47,caution,,,
41,1.367,True,0.375,0.684,0.002,,False,0.811,0.391,0.47,caution,,,
42,1.4,True,0.398,0.642,0.001,,False,0.816,0.386,0.466,caution,,,
43,1.433,True,0.409,0.636,0.001,,False,0.811,0.386,0.466,caution,,,
44,1.467,True,0.414,0.638,0.0,-0.68,False,0.8,0.395,0.468,caution,,,
45,1.5,True,0.421,0.633,0.0,0.485,False,0.786,0.397,0.468,caution,,,
46,1.533,True,0.427,0.625,0.0,0.289,False,0.771,0.402,0.467,caution,,,
47,1.567,True,0.43,0.621,0.0,0.461,False,0.755,0.415,0.469,caution,,,
48,1.6,True,0.429,0.617,0.174,17.685,False,0.744,0.437,0.491,caution,,,
49,1.633,True,0.422,0.625,0.235,16.565,False,0.715,0.508,0.518,caution,,,
50,1.667,True,0.413,0.638,0.29,19.333,False,0.71,0.546,0.537,caution,,,
51,1.7,True,0.391,0.655,0.383,24.496,False,0.713,0.562,0.551,caution,,,
52,1.733,True,0.372,0.665,0.44,25.016,False,0.717,0.553,0.553,caution,,,
53,1.767,True,0.354,0.669,0.387,20.82,False,0.718,0.519,0.533,caution,,,
54,1.8,True,0.332,0.677,0.241,13.331,False,0.723,0.479,0.502,caution,,,
55,1.833,True,0.304,0.706,0.12,7.129,False,0.732,0.46,0.485,caution,,,
56,1.867,True,0.179,0.762,0.114,13.766,False,0.759,0.447,0.47,caution,,,
57,1.9,True,0.089,0.782,0.135,15.04,False,0.785,0.435,0.458,caution,,,
58,1.933,True,0.062,0.784,0.098,8.386,False,0.813,0.426,0.45,caution,,,
59,1.967,True,0.145,0.779,0.049,-1.972,False,0.84,0.416,0.461,caution,,,
60,2.0,True,0.223,0.771,0.025,-0.461,False,0.853,0.362,0.456,caution,,,
61,2.033,True,0.385,0.762,0.019,4.939,False,0.85,0.277,0.456,caution,,,
62,2.067,True,0.544,0.748,0.09,9.572,False,0.846,0.227,0.474,caution,,,
63,2.1,True,0.642,0.736,0.16,15.587,False,0.855,0.211,0.493,caution,,,
64,2.133,True,0.427,0.72,0.18,14.24,False,0.892,0.178,0.443,caution,,,
65,2.167,True,0.214,0.644,0.133,7.449,False,0.946,0.183,0.391,caution,,,
66,2.2,True,0.107,0.527,0.164,6.634,False,0.943,0.167,0.343,caution,,,
67,2.233,True,0.053,0.477,0.125,3.19,False,0.894,0.185,0.317,caution,,,
68,2.267,True,0.027,0.5,0.101,2.807,False,0.798,0.146,0.286,acceptable,,,
69,2.3,True,0.089,0.632,0.157,17.435,False,0.714,0.158,0.322,acceptable,,,
70,2.333,True,0.149,0.726,0.125,8.33,False,0.634,0.204,0.354,caution,,,
71,2.367,True,0.103,0.785,0.1,6.196,False,0.618,0.204,0.352,caution,,,
72,2.4,True,0.095,0.774,0.151,17.059,False,0.689,0.196,0.361,caution,,,
73,2.433,True,0.108,0.729,0.29,24.981,False,0.773,0.186,0.377,caution,,,
74,2.467,True,0.109,0.731,0.35,24.355,False,0.822,0.186,0.391,caution,,,
75,2.5,True,0.104,0.758,0.414,26.741,False,0.868,0.186,0.409,caution,,,
76,2.533,True,0.096,0.8,0.441,26.389,False,0.908,0.172,0.42,caution,,,
77,2.567,True,0.087,0.836,0.488,28.707,False,0.934,0.164,0.431,caution,,,
78,2.6,True,0.112,0.857,0.545,31.095,False,0.931,0.187,0.453,caution,,,
79,2.633,True,0.158,0.857,0.535,28.338,False,0.87,0.244,0.472,caution,,,
80,2.667,True,0.238,0.82,0.529,28.335,False,0.734,0.237,0.458,caution,,,
81,2.7,True,0.369,0.782,0.512,27.328,False,0.649,0.222,0.456,caution,,,
82,2.733,True,0.44,0.771,0.502,27.19,False,0.603,0.227,0.462,caution,,,
83,2.767,True,0.454,0.758,0.511,28.221,False,0.572,0.243,0.464,caution,,,
