frame,time_sec,is_moving,knee_stiffness_risk,ankle_foot_alignment_risk,hip_displacement_proxy,landing_asymmetry_score,core_risk,status,injury_names,injury_descriptions,injury_preventions
0,0.0,False,0.0,0.0,0.0,0.0,0.0,acceptable,,,
1,0.033,False,0.0,0.0,0.0,0.0,0.0,acceptable,,,
2,0.067,False,0.0,0.0,0.0,0.0,0.0,acceptable,,,
3,0.1,False,0.0,0.0,0.0,0.0,0.0,acceptable,,,
4,0.133,False,0.0,0.0,0.0,0.0,0.0,acceptable,,,
5,0.167,False,0.0,0.0,0.0,0.0,0.0,acceptable,,,
6,0.2,False,0.0,0.0,0.0,0.0,0.0,acceptable,,,
7,0.233,False,0.0,0.0,0.0,0.0,0.0,acceptable,,,
8,0.267,True,0.022,0.756,0.649,0.236,0.411,caution,,,
9,0.3,True,0.088,0.693,0.773,0.276,0.438,caution,,,
10,0.333,True,0.271,0.641,0.834,0.234,0.453,caution,,,
11,0.367,True,0.31,0.532,0.87,0.141,0.401,caution,,,
12,0.4,True,0.335,0.55,0.863,0.128,0.406,caution,,,
13,0.433,True,0.432,0.502,0.861,0.136,0.413,caution,,,
14,0.467,True,0.234,0.524,0.712,0.324,0.424,caution,,,
15,0.5,True,0.134,0.593,0.591,0.35,0.416,caution,,,
16,0.533,True,0.106,0.618,0.58,0.371,0.424,caution,,,
17,0.567,True,0.0,0.726,0.703,0.26,0.414,caution,,,
18,0.6,True,0.0,0.783,0.676,0.285,0.436,caution,,,
19,0.633,True,0.0,0.815,0.748,0.471,0.522,caution,,,
20,0.667,True,0.015,0.833,0.714,0.342,0.48,caution,,,
21,0.7,True,0.0,0.868,0.704,0.261,0.457,caution,,,
22,0.733,True,0.0,0.876,0.648,0.263,0.452,caution,,,
23,0.767,True,0.0,0.975,0.549,0.279,0.473,caution,,,
24,0.8,True,0.095,0.789,0.591,0.332,0.461,caution,,,
25,0.833,True,0.077,0.788,0.623,0.343,0.465,caution,,,
26,0.867,True,0.247,0.688,0.687,0.397,0.498,caution,,,
27,0.9,True,0.309,0.84,0.812,0.363,0.563,caution,,,
28,0.933,True,0.37,0.885,0.707,0.351,0.568,caution,,,
29,0.967,True,0.408,0.88,0.707,0.303,0.557,caution,,,
30,1.0,True,0.456,0.964,0.743,0.322,0.604,risky,Ankle sprain (ATFL tear) | Hip instability,"The foot is not aligned with the body's momentum, creating lateral shearing forces on the ankle ligaments. | The pelvis is displaced far from the base of support, transferring excessive stress to the knee and ankle.",Land with the foot pointing along the direction of movement and keep the knee centered over the foot. | Keep the hips centered over the feet and strengthen hip stabilizers for better control.
31,1.033,True,0.598,1.0,0.789,0.278,0.635,risky,Ankle sprain (ATFL tear) | Hip instability | Patellar tendon overload,"The foot is not aligned with the body's momentum, creating lateral shearing forces on the ankle ligaments. | The pelvis is displaced far from the base of support, transferring excessive stress to the knee and ankle. | The knee is too straight during landing or a lunge, increasing mechanical leverage and strain on the patellar tendon and meniscus.",Land with the foot pointing along the direction of movement and keep the knee centered over the foot. | Keep the hips centered over the feet and strengthen hip stabilizers for better control. | Keep the knee flexed and aligned over the toe during loading; avoid hyper-extending the knee.
32,1.067,True,0.443,1.0,0.762,0.357,0.628,risky,Ankle sprain (ATFL tear) | Hip instability,"The foot is not aligned with the body's momentum, creating lateral shearing forces on the ankle ligaments. | The pelvis is displaced far from the base of support, transferring excessive stress to the knee and ankle.",Land with the foot pointing along the direction of movement and keep the knee centered over the foot. | Keep the hips centered over the feet and strengthen hip stabilizers for better control.
33,1.1,True,0.406,0.969,0.769,0.382,0.621,risky,Ankle sprain (ATFL tear) | Hip instability,"The foot is not aligned with the body's momentum, creating lateral shearing forces on the ankle ligaments. | The pelvis is displaced far from the base of support, transferring excessive stress to the knee and ankle.",Land with the foot pointing along the direction of movement and keep the knee centered over the foot. | Keep the hips centered over the feet and strengthen hip stabilizers for better control.
34,1.133,True,0.354,0.953,0.764,0.414,0.616,risky,Ankle sprain (ATFL tear) | Hip instability,"The foot is not aligned with the body's momentum, creating lateral shearing forces on the ankle ligaments. | The pelvis is displaced far from the base of support, transferring excessive stress to the knee and ankle.",Land with the foot pointing along the direction of movement and keep the knee centered over the foot. | Keep the hips centered over the feet and strengthen hip stabilizers for better control.
35,1.167,True,0.33,0.885,0.769,0.449,0.604,risky,Ankle sprain (ATFL tear) | Hip instability,"The foot is not aligned with the body's momentum, creating lateral shearing forces on the ankle ligaments. | The pelvis is displaced far from the base of support, transferring excessive stress to the knee and ankle.",Land with the foot pointing along the direction of movement and keep the knee centered over the foot. | Keep the hips centered over the feet and strengthen hip stabilizers for better control.
36,1.2,True,0.263,0.775,0.731,0.405,0.536,caution,,,
37,1.233,True,0.266,0.746,0.706,0.448,0.54,caution,,,
38,1.267,True,0.232,0.634,0.716,0.457,0.504,caution,,,
39,1.3,True,0.204,0.599,0.729,0.439,0.483,caution,,,
40,1.333,True,0.214,0.728,0.699,0.531,0.552,caution,,,
41,1.367,True,0.232,0.728,0.711,0.458,0.532,caution,,,
42,1.4,True,0.241,0.719,0.734,0.395,0.512,caution,,,
43,1.433,True,0.222,0.737,0.73,0.411,0.519,caution,,,
44,1.467,False,0.0,0.0,0.0,0.0,0.0,acceptable,,,
45,1.5,False,0.0,0.0,0.0,0.0,0.0,acceptable,,,
46,1.533,False,0.0,0.0,0.0,0.0,0.0,acceptable,,,
47,1.567,False,0.0,0.0,0.0,0.0,0.0,acceptable,,,
48,1.6,False,0.0,0.0,0.0,0.0,0.0,acceptable,,,
49,1.633,False,0.0,0.0,0.0,0.0,0.0,acceptable,,,
